"taxa","logzed_offsets"
"acartia",6.9227532755121e-07
"appen",2.10426583010395e-06
"Cfin",1.41456495048287e-06
"Chel",6.7633886694962e-06
"C14",4.88548588300424e-08
"C56unid",3.53295884849603e-07
"centro_hammatus",2.16693166020791e-07
"centro",3.34599741649751e-07
"centro_typicus",3.44159734268315e-07
"cirri",1.9291405794427e-07
"nauplii",7.7845654179738e-09
"decapoda",2.47247467552439e-06
"euph",0.000158234360583133
"evadne",2.45131396936704e-08
"eggs",1.24251647905517e-05
"fish",4.6465645568063e-06
"hyperiidea",5.09866272990095e-05
"metridia",2.12658817740051e-06
"oith",1.20653699944639e-06
"parapseudo",3.04224395644953e-07
"podon",1.0153371470751e-07
"temora",4.06888355785201e-07
"total",7.7845654179738e-09
"small_Olin",3.04224395644953e-07
"calanus",3.53295884849603e-07
"small",4.88548588300424e-08
"large_copepods",3.53295884849603e-07
"other",7.7845654179738e-09
